Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
157,Nunca encontraré a nadie que quiera estar conmigo,Sobregeneralización,,,,,,"Aunque esa persona no quiera estar con nosotros, hay muchas más personas por conocer",,,,,
158,La gente siempre se olvida de mi ,Sobregeneralización,,,,,,"Puede ser que un día no te llamen, pero esto no siginfica que nunca lo hagan",,,,,
159,Continuamente me equivoco ,Sobregeneralización,,,,,,Algunas veces me equivoco y otras lo hago bien,,,,,
160,No hago nada bien,Sobregeneralización,,,,,,Hay días en que las cosas no me salen bien,,,,,
161,Tras esta discusion ya nunca nada será como antes ,Sobregeneralización,,,,,,"Ha sido una discusion fuerte, tendremos que hacer algo para recuperar la buena relación",,,,,
,Leer la mente,,,,,,,,,,,,
1,"Simplemente lo sé, estoy convencida. Piensa que soy lo peor.",Leer la mente,,,,,,No puedo saber lo que piensa si no le pregunto. Serà mejor que hablemos directamente,estoy seguro de mis capacidades,estoy seguro de mis capacidades,"Dado mi mal comportamiento, mis padres tienen que ir al colegio a reunirse con la tutora dia sí y día también. Estoy convencido de que mi familia se avergüenza de mí. Probablemente, cuando vuelvan de la reunión me castigarán.",,"Tengo la sensación de que se averguenzan de mi, no lo sé seguro. Después de reunirse les preguntaré."
2,"Sé que mi padre, en el fondo, piensa que soy un inútil.",Leer la mente,,,,,,"Creo que mi padre piensa que soy inutil, pero realmente no tengo hechos que me lo indiquen","estoy convencido de que el examen te va a ir bien, ya que has estudiado para ello.","estoy convencido de que el examen te va a ir bien, ya que has estudiado para ello.","Hoy he tenido reunión con mi supervisor, en la que hemos hablado del proyecto que he propuesto. Pese a que dice que le gusta, ha criticado ciertas propuestas. Sé con seguridad que mi jefe está insatisfecho con mi trabajo",,Creo que no está satisfecho pero esto no quiere decir que sea así.
3,El ascensorista piensa que soy un don nadie.,Leer la mente,,,,,,No puedo saber lo que piensa el ascensorista de mi si no le pregunto,ándate con cuidado con los papeles del seguro del coche.,ándate con cuidado con los papeles del seguro del coche.,"Me sorprende que nadie del trabajo me haya invitado a la fiesta de navidad, no me lo explico. Siempre he sido super agradable con todos. Estoy convencido de que, en el fondo, mis compañeros de trabajo me tienen envidia",,Que lo piense no quiere decir que sea cierto. Quizás se han olvidado de decírmelo.
4,Yo no le gusto a ella.,Leer la mente,,,,,Segun el contexto no tiene porque ser una distorsión,No puedo saber si le gusto o no si no le pregunto,no hay nada seguro en esta vida,no hay nada seguro en esta vida,"No entiendo porqué el profesor me castiga a mí, cuando estamos hablando todos. !Siempre igual! Está pendiente de mí durante toda la clase. Estoy convencido de que el profesor me tiene manía",,"Puede que me tenga manía, pero no lo sé seguro. Debería preguntarle."
5,"Siempre está sonriendo, pero sé que no me quiere.",Leer la mente,,,,,,Creo que no me quiere ,estoy segura que mañana lloverá,estoy segura que mañana lloverá,"El profesor ha pedido voluntarios para ser delegado y, cuando he levantado la mano, toda la gente se ha reído; seguro que piensan que soy ridículo. A este paso, no voy a participar más en clase; !Qué verguenza he pasado!",,"Una cosa es pensarlo y otra es estar seguro. Y nadie me ha dicho que haga el ridículo, por lo que no lo sé seguro."
6,la gente del trabajo me odia,Leer la mente,,,,,,"Pienso que la gente me odia, pero realmente no sé si es verdad",Se que mi hermana es muy amable y que tiene muchos amigos ,Mi hermana es muy amable se que tiene muchos amigos ,"Cada vez que intento decir algo ocurrente delante de mis compañeros de profesión, me hacen el vacío. No tengo dudas de que caigo mal a mis compañeros de trabajo. Creo que lo mejor será cambiar de trabajo",,"Tengo la sensación de que no les caigo bien, pero no estoy seguro."
7,estoy convencido de que no me quieren tanto como yo a ellos,Leer la mente,,,,,,Tengo la sensación que yo quiero más a la gente de lo que me quieren,Estoy convencido de que todo saldrá bien ,Estoy convencido de que todo saldrá bien ,"Hoy he decidido ponerme una vestimenta algo llamativa. De camino al trabajo, toda la gente me está mirando; seguro que piensan que soy raro. Intentaré pasar más desapercibido la próxima vez, pues lo paso mal",,Que me estén mirando no tiene porqué significar que piensen que soy raro.
8,"siempre me dice que me quiere, pero sé que no es verdad",Leer la mente,Sobregeneralización,,,,,Si mi pareja me dice que me quiere lo más probable es que sea verdad,Se que la leche me sienta mal,Se que la leche me sienta mal,"Hoy he decidido salir a conocer gente, pero la experiencia ha sido horrible. No me he atrevido a conocer a nadie; ni siquiera a saludar.  Por como me ha mirado ese chico, estoy seguro de que no quiere ser mi amigo.",,No puedo estar seguro de que no quiera ser mi amigo basándome únicamente en la mirada
9,"nunca me ha dicho nada malo, pero sé que me odia",Leer la mente,Sobregeneralización,,,,,Me trata bien aunque a veces me hace pensar que me odia,Estoy convencido de la decisión que acabo de tomar.,Estoy convencido de la decisión que acabo de tomar.,"Siempre le estoy contando mis problemas a mi pareja, incluso cuando he tenido un día bueno. Me gustaría dejar de hacerlo, pero no sé como. Seguro que piensa que soy un lastre para él, lo noto.",,Creo que piensa que soy un lastre; pero no lo sé a ciencia cierta.
10,Seguro que piensan que no me implico lo suficiente ,Leer la mente,,,,,,"Tengo la sensación que me estoy implicando menos que antes, pero no puedo saber lo que piensan de mi si no les pregunto",Estoy seguro en este lugar al que he ido a vivir. ,Estoy seguro en este lugar al que he ido a vivir. ,"Lo que me ha pasado hoy en el restaurante me preocupa. Le cuento un chiste a mi pareja para hacerla reír  y noto como la risa es forzada. Aunque mi pareja no me lo diga, piensa que soy una persona aburrida",,"No sé lo que piensa realmente; al fin y al cabo, sigue conmigo y nunca me ha dicho que sea aburrido."
11,Estoy seguro que mis amigos creen que deberia estar más atenta a sus necesidades y que ultimamente paso de ellos,Leer la mente,Imperativos,,,,,"Me parece que a mis amigos les gustaria que les dedicara más tiempo, hablaré con ellos y les explicaré lo que me pasa.",Solo sé que no sé nada.,Solo sé que no sé nada.,"Siempre coincide que, cuando voy a visitar a mi abuelo, él me da dinero para mis gastos. Yo no lo necesito, pero me parece mal negarme a que me lo dé. En el fondo, mi abuelo piensa que me aprovecho de él. ",,No sé lo que piensa mi abuelo; debería preguntarle para confirmarlo.
12,"siempre está sonriendo, pero sé que me odia",Leer la mente,,,,,,Creo que me odia,Sé hacer muy bien mi trabajo. ,Sé hacer muy bien mi trabajo. ,"Mis hijos nunca están en casa; todo el día se lo pasan haciendo planes con amigos. ¡Qué tristeza! Debe ser que hijos ya no me quieren como antes, estoy segura.",,Que estén quedando con los amigos no quiere decir que ya no me quieran.
13,"aunque me dice que me quiere, estoy convencida de que miente",Leer la mente,,,,,,"Si me dice que me quiere lo más seguro es que sea verdad, no tiene porque mentirme",Estoy seguro de mi mismo,Estoy seguro de mi mismo,"Desde que nos peleamos ya no me dirige la palabra. Estoy convencido de que no me quiere volver a ver, pues no me escribe ni me pregunta cómo estoy.",,"Creo que no me quiere volver a ver, pero no lo sé seguro."
14,"aunque me ayuda, sé que no me quiere",Leer la mente,,,,,,Como me ayuda supongo que soy una persona importante para ella,Piensa mal y acertarás ,Piensa mal y acertarás ,"Cada día, mis padres me echan la bronca por no estar buscando trabajo y seguir sin intención de dar un palo al agua. Estoy seguro de que mi familia me considera una carga",,Puede que mi familia piense en lo mejor para mí y esté preocupada por mi futuro.
15,estoy seguro de que no le caigo bien aunque me diga que sí,Leer la mente,,,,,,"Si me dice que si, lo más probable es que le caiga bien",Se piensa mejor cuando se duerme bien ,Se piensa mejor cuando se duerme bien ,"Desde que tuvimos esa discusión, mi amigo ya no me cuenta sus problemas. Siento mucha impotencia al respecto porque quiero ayudarle.  Aunque diga lo contrario, sé que todavía no confía en mi",,"Puede que esté enfadado conmigo, pero eso no quiere decir que ya no confíe en mí."
16,"nunca me ha dicho nada, pero sé que piensa mal de mí",Leer la mente,,,,,,No puedo sacar conclusiones con la información que tengo ya que nunca me lo han dicho,Mi hermana no piensa; actúa impulsivamente.,Mi hermana no piensa; actúa impulsivamente.,"No paro de escribir mensajes a mi pareja, pero es porque me preocupo por si le ha ocurrido algo mientras está fuera. Intento distraerme y no pensar en ello pero es imposible. Ella piensa que soy un exagerado, lo sé",,Quizás piensa que en ocasiones me preocupo demasiado. Lo hablaré con ella y saldré de dudas.
17,sé que me odian,Leer la mente,,,,,,a veces pienso que me odian,Estoy plenamente convencido de la inversión que voy a hacer.,Estoy plenamente convencido de la inversión que voy a hacer.,"Hoy vamos a quedar todos los del grupo para hablar de nuestros temas más íntimos y conocernos mejor. No veo factible mostrar mis sentimientos delante de todos. Si lloro en público, seguro que piensan que soy vulnerable y me dejarán de lado.",,Puede que algunos piensen que soy vulnerable. Otros quizás no lo piensan.
18,estoy convencido de que no me quieren tanto como yo a ellos,Leer la mente,,,,,,Quiero mucho a mis amigos y a veces pienso que ellos a mi no tanto,"Sé que si no ceno, por la noche tendré hambre.","Sé que si no ceno, por la noche tendré hambre.","Cuando estoy comiendo con amigos, me siento muy observado. Seguro que piensan que estoy en los huesos, lo noto en como me miran. Mira que intento ganar peso comiendo más y yendo al gimnasio, pero no hay manera.",,La mirada no es base suficiente para saber qué es lo que piensan. Será mejor preguntarles
19,"siempre me dice que me quiere, pero sé que no es verdad",Leer la mente,,,,,,"No puedo saber lo que piensa, pero puedo fijarme en los hechos para saber si me quiere",Estoy seguro de mis habilidades artísticas,Estoy seguro de mis habilidades artísticas,"Desde que a mi familia les dije que me quería ir de casa, noto cierta tensión en el ambiente. Estoy seguro de que si me independizo, mis padres pensarán que ya no les quiero. No sé que hacer; estoy indeciso.",,No sé lo que pensarán mis padres; quizás sienten pena por que me vaya.
20,"nunca me ha dicho nada malo, pero sé que me odia",Leer la mente,,,,,,No tengo nada que justifique mi pensameinto de que me odia si nunca me ha dicho nada malo,Estoy convencido de que mañana ganaremos el partido,Estoy convencido de que mañana ganaremos el partido,"Estoy muy triste con mi situación sentimental. Mi pareja ya no me mira como antes, seguro que está pensando en otro... ya no me pregunta cómo me ha ido el día; noto cierto desinterés.",,No puedo saber realmente lo que piensa mi pareja; será mejor que le pregunte.
21,mi familia piensa que soy un fracasado,Leer la mente,,,,,,como puedo saber lo que piensa mi familia de mi si nunca se lo he preguntado?,Sé que mañana es el último día para inscribirse,Sé que mañana es el último día para inscribirse,"Cada día estoy comprándome mil cosas que en realidad no necesito. Y cuando quiero algo, siento la necesidad de tenerlo al momento. Nunca me lo ha dicho, pero mi pareja piensa que soy un caprichoso",,"Creo que mi pareja piensa que soy un caprichoso, pero no lo sé bien."
22,"aunque mi pareja es bueno conmigo, sé que no me quiere",Leer la mente,,,,,,"Si una persona hace cosasa buenas para ti, que te hace pensar que no te quiere?",Piensa en todos los momentos bonitos que vivimos,Piensa en todos los momentos bonitos que vivimos,"Mis padres piensan que mi hermano es mejor que yo, más inteligente y con una mejor carrera, siempre ha sido así. A mí me ven como la oveja negra de la familia, la que siempre está triste, tiene pocos amigos, le cuesta estudiar. Le quieren más a él.",Sobregeneralización,"Tengo la sensacion que mis padres piensan que mi hermano es mejor que yo, pero no lo se seguto, también es verdad que en muchas ocasiones me han apoyado a mi."
23,estoy convencido de que mis alumnos se rien de mi,Leer la mente,,,,,,Mis alumnos se rien pero no se de que,Sé que soy alérgico a muchos alimentos,Sé que soy alérgico a muchos alimentos,"Ultimamente no tengo mucho tiempo para el ocio y estoy viendo menos a mis amigos, seguro que estan pensando que paso de ellos y soy mal amigo. Les estaran pasando cosas importantes y yo no estoy con ellos.",,"Creo que mis amigos van a pensar que soy mal amigo y paso de ellos, pero tengo mucho trabajo y mo puedo quedar, pero siempre que me han necesitado he estado allí."
24,mi vecino piensa que soy un desastre,Leer la mente,,,,,,No puedo saber que piensa mi vecino de mi si nunca he hablado con él,Sé las consecuencias que tendría no estudiar para el examen,Sé las consecuencias que tendría no estudiar para el examen,,,
25,sé que a mis amigos no les gusto como soy,Leer la mente,,,,,,"A veces, por lo que me dicen,  pienso que a mis amigos no les gusto como soy, pero realmente ellos siguen siendo mis amigos",Estoy seguro de a quién va a ir dirigido mi voto,Estoy seguro de a quién va a ir dirigido mi voto,,,
26,sé con seguridad que mi hermano me detesta,Leer la mente,,,,,,Por como me mira creo que mi hermano me detesta,Sé muy bien cuales son mis limitaciones.,Sé muy bien cuales son mis limitaciones.,,,
27,estoy muy seguro de que no me quieren,Leer la mente,,,,,,Pienso que la gente no me quiere,Sé con certeza que voy a esforzarme para lograrlo.,Mi amigo siempre piensa antes de hablar,,,
28,mi hermano me detesta,Leer la mente,,,,,,"tengo la sensacion de que mi hermano me detesta, será mejor que lo hable con él","Mi hermana piensa que no tiene tiempo, me lo ha dicho",Sé con certeza que voy a esforzarme para lograrlo.,,,
29,"Mi madre se rio, seguro que de mi",Leer la mente,,,,,,"He visto a mi madre reirse y no se de que, le puedo preguntar para estar más tranquila",,,,,
30,Mi jefe piensa que soy tonto,Leer la mente,,,,,,Por como me habla creo que piensa que soy tonto,,,,,
